id,__typename,createdAt,darkThemeColor,displayName,lastOnline,lightThemeColor,profilePictureURL,updatedAt
d45854f8-e081-7000-3a43-39d12d91cb70,User,2024-10-07T21:49:40.502Z,,sparky,2024-10-07T17:52:55.248-04:00,,,2024-10-07T21:52:56.017Z
d448b478-1001-7099-77c0-448f672052cb,User,2024-05-18T14:21:46.729Z,#5fffff,ponpar,2025-02-17T23:13:05.166-05:00,#2f7f7f,https://i.imgur.com/lJizxK7.png,2025-02-18T04:13:05.743Z
e4d83448-10f1-70fd-d575-a04f75a87f2b,User,2024-05-18T18:49:54.153Z,,babymoose,2024-09-23T19:36:06.414-04:00,,,2024-05-18T18:49:54.153Z
e458b408-70e1-70bc-25fe-c4d0276c8afc,User,2024-05-17T20:18:04.568Z,#ffbf00,jib,2025-02-27T22:12:26.374-07:00,#ff7f50,https://cdn.discordapp.com/attachments/994625150328782990/1170483597065605180/IMG_6061.png?ex=66fdc34c&is=66fc71cc&hm=06fa40a9413baa83d81425117310ec217c71837986ac6e6f1b147019cbbd6f06&,2025-02-28T05:12:27.552Z
7428b458-2051-702c-0053-4cd4f71d069a,User,2024-05-18T18:49:31.849Z,,ermanator,2025-03-15T22:19:38.093-04:00,,,2025-03-16T02:19:40.764Z
e4686478-40d1-7090-bf15-2a7910a2119c,User,2024-05-19T13:13:11.731Z,#69d7b0,cosmic,2025-03-21T22:24:48.196-04:00,#45a387,,2025-03-22T02:24:48.680Z
74785408-6081-7051-ace5-c0937fd0d4b8,User,2024-05-19T16:02:19.637Z,#f7cac9,washingdone,2025-03-07T14:39:26.024-06:00,#f7cac9,https://cdn.discordapp.com/avatars/136609221234917376/9018a8d4707f4293a50b4640eeb95b36.png?size=4096,2025-03-07T20:39:26.731Z
8478e468-3011-708b-4b0a-f1191abcc608,User,2024-05-17T15:41:22.837Z,#ff6188,ode,2025-03-23T13:10:07.418-04:00,#a9dc6c,https://owen.is-bad.com/9ABybdD.png,2025-03-23T17:10:08.173Z
e468a478-f051-701e-ebe2-9139e7480222,User,2024-09-07T14:25:09.975Z,#790182,jombles,2025-03-03T22:25:01.004-05:00,#00ffff,"https://i.imgur.com/aPM5JGP.png"",2025-03-04T03:25:02.947Z""",
f4c88428-d071-704d-b9b7-f110618bc802,User,2024-10-01T01:26:15.446Z,#cd2222,kynamo,2025-03-11T08:17:06.797-05:00,#175ea0,https://cdn.discordapp.com/avatars/604781077348745221/af6bc754cdaf5b5354af6e6bfae36d9d.webp?size=1024,2025-03-11T13:17:07.389Z
f4d834a8-a0e1-7076-8eda-75aeaaa839b9,User,2024-09-14T18:00:45.420Z,,goldenkween,2024-09-23T19:36:06.414-04:00,,,2024-09-23T23:36:06.573Z
f448f418-b0e1-7093-d7fa-641ac3efbbbe,User,2024-05-19T15:32:37.449Z,#969f32,sirobot,2025-03-03T16:49:36.469-05:00,#78e7ff,,2025-03-03T21:49:37.132Z
548804b8-20f1-70ab-ff62-1f2a097301f6,User,2024-05-17T19:58:44.691Z,#00fff0,dylwalk,2025-03-12T10:56:08.052-04:00,#00fff0,https://cdn.discordapp.com/emojis/813524276837482536.webp?size=96,2025-03-12T14:56:09.291Z
d458c4a8-0021-7024-5692-60f56b870b82,User,2024-05-18T01:47:34.870Z,#cba2ff,croot,2025-03-11T22:01:21.080-04:00,#7d21c5,https://cdn.discordapp.com/avatars/99201752280096768/cb42aceeff79fe7a664bb6b518b062ac?size=1024,2025-03-12T02:01:21.626Z
